,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Chokurdakh,78,RU,1570515485,96,70.62,147.9,12.43,1.88
1,Vaini,40,IN,1570515487,62,15.34,74.49,84.2,5.82
2,Chuy,1,UY,1570515488,79,-33.69,-53.46,55.59,8.12
3,Rikitea,100,PF,1570515489,78,-23.12,-134.97,70.05,11.48
4,Arraial do Cabo,93,BR,1570515309,94,-22.97,-42.02,71.52,2.75
5,Boddam,75,GB,1570515492,93,57.47,-1.78,48.2,12.75
6,Barrow,17,AR,1570515494,63,-38.31,-60.23,43.17,4.5
7,Bambous Virieux,75,MU,1570515496,69,-20.34,57.76,75.99,18.34
8,Hermanus,17,ZA,1570515497,72,-34.42,19.24,63.0,7.0
9,Kodiak,1,US,1570515498,93,39.95,-94.76,51.01,7.49
10,Hobart,40,AU,1570515501,53,-42.88,147.33,54.0,19.46
11,Tasiilaq,0,GL,1570515502,69,65.61,-37.64,39.2,2.24
12,Chernyshevskiy,26,RU,1570515503,73,63.01,112.47,21.52,9.1
13,Grand Gaube,75,MU,1570515308,69,-20.01,57.66,75.99,18.34
14,Ilulissat,25,GL,1570515506,68,69.22,-51.1,24.8,1.12
15,Saint-Philippe,1,CA,1570515507,93,45.36,-73.48,55.4,9.17
16,Goundam,14,ML,1570515509,18,16.42,-3.66,85.29,10.51
17,Nurota,0,UZ,1570515511,27,40.56,65.69,77.0,4.7
18,Yellowknife,90,CA,1570515513,86,62.45,-114.38,30.2,12.75
19,Kaitangata,100,NZ,1570515514,87,-46.28,169.85,51.01,5.99
20,Torbay,75,CA,1570515516,87,47.66,-52.73,57.99,23.04
21,Thompson,90,CA,1570515517,66,55.74,-97.86,50.0,5.82
22,Ushuaia,90,AR,1570515518,94,-54.81,-68.31,32.0,38.03
23,Staryy Nadym,100,RU,1570515520,73,65.61,72.68,36.78,3.42
24,Vila,75,IT,1570515521,93,45.18,8.4,57.99,4.7
25,Katsuura,75,JP,1570515523,61,33.93,134.5,77.0,14.99
26,Byron Bay,91,AU,1570515518,9,-28.65,153.62,100.4,27.51
27,Punta Arenas,0,CL,1570515526,64,-53.16,-70.91,37.4,35.57
28,Salcedo,78,DO,1570515527,86,19.38,-70.42,80.01,4.05
29,Pisco,90,PE,1570515529,87,-13.71,-76.2,60.8,4.7
30,Dustlik,0,UZ,1570515530,17,40.53,68.03,78.92,8.5
31,Port Alfred,17,ZA,1570515532,74,-33.59,26.89,68.0,1.99
32,Shimoda,40,JP,1570515534,74,34.7,138.93,81.0,17.22
33,Carnarvon,78,ZA,1570515535,37,-30.97,22.13,59.5,5.68
34,Tiksi,100,RU,1570515536,83,71.64,128.87,25.35,20.38
35,Mataura,100,NZ,1570515538,94,-46.19,168.86,52.0,3.0
36,Saint Anthony,1,US,1570515539,74,43.97,-111.68,42.8,5.82
37,Bandarbeyla,6,SO,1570515540,61,9.49,50.81,82.56,5.84
38,Vila Franca do Campo,75,PT,1570515542,88,37.72,-25.43,71.01,17.22
39,Slave Lake,90,CA,1570515320,74,55.28,-114.77,33.8,13.87
40,Busselton,81,AU,1570515544,23,-33.64,115.35,82.99,4.18
41,Itarema,37,BR,1570515545,68,-2.92,-39.92,77.97,13.0
42,Nalut,39,LY,1570515547,62,31.86,10.98,61.61,15.43
43,Mahebourg,75,MU,1570515548,69,-20.41,57.7,75.99,18.34
44,Peruibe,100,BR,1570515549,99,-24.32,-47.0,65.51,1.03
45,Lengshuijiang,100,CN,1570515552,64,27.66,111.45,64.79,2.53
46,Cape Town,40,ZA,1570515296,67,-33.93,18.42,62.6,14.99
47,Tura,48,RU,1570515554,74,64.27,100.22,22.19,12.73
48,Yulara,0,AU,1570515555,18,-25.24,130.99,84.2,14.99
49,Luderitz,0,NA,1570515557,76,-26.65,15.16,57.2,8.05
50,Mar del Plata,66,AR,1570515558,53,-46.43,-67.52,46.27,22.64
51,Henties Bay,13,NA,1570515560,90,-22.12,14.28,57.47,13.47
52,Albany,90,US,1570515561,87,42.65,-73.75,55.4,3.2
53,Ca Mau,100,VN,1570515562,51,9.18,105.15,90.32,7.9
54,Avarua,69,CK,1570515565,56,-21.21,-159.78,69.8,6.93
55,Jamestown,13,AU,1570515370,35,-33.21,138.6,61.19,13.91
56,Dunedin,100,NZ,1570515521,73,-45.87,170.5,55.0,8.01
57,Ketchikan,1,US,1570515572,48,55.34,-131.65,42.8,16.11
58,Nanortalik,99,GL,1570515574,81,60.14,-45.24,36.69,2.21
59,Trelew,0,AR,1570515575,43,-43.25,-65.31,48.83,21.99
60,Novosergiyevka,8,RU,1570515576,60,52.08,53.65,45.46,5.88
61,Cherskiy,99,RU,1570515577,93,68.75,161.3,24.72,16.64
62,Saint-Pierre,90,FR,1570515579,100,48.95,4.24,55.4,16.11
63,Anadyr,90,RU,1570515580,100,64.73,177.51,35.6,8.95
64,Puerto Ayora,38,EC,1570515581,96,-0.74,-90.35,64.0,1.99
65,Port Elizabeth,75,US,1570515584,77,39.31,-74.98,66.0,14.99
66,Laguna,75,BZ,1570515585,94,16.17,-88.94,77.0,1.79
67,Karratha,0,AU,1570515586,10,-20.74,116.85,103.89,14.88
68,Qaanaaq,100,GL,1570515588,84,77.48,-69.36,19.83,11.86
69,Georgetown,0,GY,1570515589,100,6.8,-58.16,75.2,4.7
70,Punalur,20,IN,1570515590,74,9.02,76.93,84.2,11.41
71,Vardo,90,US,1570515592,87,39.62,-77.74,57.99,8.05
72,Norman Wells,90,CA,1570515510,80,65.28,-126.83,30.2,10.29
73,Atuona,32,PF,1570515594,74,-9.8,-139.03,79.64,11.99
74,Ribeira Grande,100,PT,1570515595,72,38.52,-28.7,66.11,19.15
75,Kavaratti,20,IN,1570515597,66,10.57,72.64,87.8,5.57
76,Coracora,0,PE,1570515598,38,-15.02,-73.78,43.3,2.04
77,Bluff,19,AU,1570515599,11,-23.58,149.07,100.4,11.03
78,Poum,75,MK,1570515600,53,41.28,20.71,51.8,6.93
79,Cabo San Lucas,87,MX,1570515494,81,22.89,-109.91,79.0,6.73
80,Leshukonskoye,100,RU,1570515603,95,64.9,45.76,37.63,10.09
81,Pevek,100,RU,1570515604,82,69.7,170.27,33.33,21.94
82,Koson,0,UZ,1570515606,24,39.04,65.59,78.8,7.47
83,Dingle,73,PH,1570515608,79,11.0,122.67,82.92,10.09
84,Bubaque,100,GW,1570515610,72,11.28,-15.83,82.09,10.31
85,Maumere,76,ID,1570515612,62,-8.63,122.22,81.41,7.58
86,Rundu,25,NA,1570515614,16,-17.91,19.77,68.0,4.7
87,Kapaa,40,US,1570515615,69,22.08,-159.32,80.6,9.17
88,Geraldton,20,CA,1570515616,94,49.72,-86.95,32.0,6.17
89,Lebu,37,ET,1570515618,68,8.96,38.73,61.01,6.6
90,Butaritari,97,KI,1570515619,66,3.07,172.79,85.17,9.1
91,Bayanday,79,RU,1570515621,66,53.07,105.52,52.14,15.57
92,Piney Green,75,US,1570515623,100,35.09,-78.48,71.01,4.7
93,Eureka,1,US,1570515599,100,40.8,-124.16,51.01,4.7
94,Lagoa,0,PT,1570515625,68,37.14,-8.45,73.99,3.36
95,Nangomba,4,TZ,1570515626,54,-10.9,38.52,79.84,6.02
96,The Valley,20,AI,1570515628,74,18.22,-63.06,84.2,11.41
97,Phitsanulok,40,TH,1570515629,66,16.82,100.26,89.6,6.93
98,Abha,0,SA,1570515630,30,18.22,42.5,77.0,4.7
99,Dikson,26,RU,1570515633,69,73.51,80.55,25.08,6.67
100,Lazaro Cardenas,17,MX,1570515634,78,28.39,-105.62,66.99,1.99
101,Caravelas,1,BR,1570515635,90,-17.73,-39.27,72.82,6.58
102,Nyimba,3,ZM,1570515637,35,-14.56,30.81,85.87,9.22
103,Bowen,0,AU,1570515638,31,-20.01,148.25,91.4,11.41
104,New Norfolk,40,AU,1570515639,53,-42.78,147.06,54.0,16.11
105,Bredasdorp,0,ZA,1570515530,72,-34.53,20.04,63.0,3.36
106,Kropotkin,100,RU,1570515642,65,45.43,40.58,56.03,4.52
107,Challapata,0,BO,1570515643,30,-18.9,-66.78,42.56,7.81
108,Bethel,90,US,1570515644,100,60.79,-161.76,44.6,25.28
109,Along,76,IN,1570515646,97,28.17,94.8,60.92,3.83
110,Manadhoo,17,MV,1570515648,68,5.77,73.38,82.61,3.85
111,Cayenne,5,GF,1570515649,100,4.94,-52.33,73.4,4.68
112,La Rioja,5,AR,1570515652,56,-29.41,-66.86,55.16,2.57
113,Mombetsu,75,JP,1570515653,87,44.35,143.35,60.8,13.87
114,Morden,1,CA,1570515655,76,49.19,-98.1,55.4,11.41
115,Clinton,90,US,1570515656,93,41.28,-72.53,62.6,8.05
116,Hilo,90,US,1570515657,74,19.71,-155.08,78.8,10.29
117,Shingu,75,JP,1570515658,61,33.72,135.99,77.0,16.11
118,Mitsamiouli,20,KM,1570515660,51,-11.38,43.28,86.0,21.92
119,Tuatapere,100,NZ,1570515661,94,-46.13,167.69,52.0,3.0
120,Posadas,0,PY,1570515662,63,-27.37,-55.89,66.2,4.7
121,Te Anau,100,NZ,1570515664,94,-45.41,167.72,49.19,2.39
122,Teguise,20,ES,1570515665,88,29.06,-13.56,69.8,9.17
123,Shelburne,5,CA,1570515638,81,44.08,-80.2,46.0,5.82
124,Mandalgovi,0,MN,1570515667,26,45.76,106.27,57.29,18.63
125,Tingambato,100,MX,1570515669,72,19.5,-101.85,59.0,5.01
126,Umm Lajj,0,SA,1570515670,74,25.02,37.27,84.47,8.25
127,Nikolskoye,75,RU,1570515671,74,59.7,30.79,37.0,6.71
128,Puerto Escondido,100,MX,1570515673,91,15.86,-97.07,74.69,3.11
129,Virginia Beach,90,US,1570515674,83,36.85,-75.98,73.4,8.05
130,Klaksvik,95,FO,1570515675,87,62.23,-6.59,50.0,20.8
131,Nisia Floresta,20,BR,1570515677,83,-6.09,-35.21,78.8,5.82
132,Ambilobe,4,MG,1570515678,42,-13.19,49.05,87.4,16.22
133,Santa Maria del Oro,73,MX,1570515679,76,25.95,-105.37,57.07,1.63
134,Nuuk,24,GL,1570515681,54,64.17,-51.74,32.0,11.41
135,Vanimo,100,PG,1570515682,69,-2.67,141.3,84.72,12.71
136,Sao Gabriel da Cachoeira,91,BR,1570515683,85,-0.13,-67.09,76.15,1.99
137,Provideniya,90,RU,1570515685,86,64.42,-173.23,41.0,17.9
138,Bathsheba,75,BB,1570515686,78,13.22,-59.52,82.4,25.28
139,Padang,83,ID,1570515687,85,-0.92,100.36,78.26,13.02
140,Kutum,23,SD,1570515689,57,14.2,24.66,76.01,6.73
141,Bereda,75,ES,1570515690,93,43.27,-7.54,66.2,6.93
142,Nzega,100,TZ,1570515691,39,-4.22,33.19,76.19,12.53
143,Castro,90,CL,1570515692,100,-42.48,-73.76,42.8,2.53
144,Harnosand,0,SE,1570515694,98,62.63,17.94,39.99,4.7
145,Etla,78,MX,1570515695,96,17.21,-96.8,57.92,4.54
146,Ketou,100,BJ,1570515697,97,7.36,2.6,72.82,4.23
147,Ballina,20,IE,1570515699,87,54.11,-9.15,53.01,13.87
148,Okha,83,RU,1570515700,72,53.59,142.95,52.79,11.03
149,Port Keats,41,AU,1570515702,60,-14.25,129.55,86.1,15.84
150,Haines Junction,0,CA,1570515703,78,60.75,-137.51,11.48,1.59
151,Inuvik,90,CA,1570515704,92,68.36,-133.71,28.4,8.05
152,Port Lincoln,32,AU,1570515706,63,-34.72,135.86,53.4,10.85
153,Pangnirtung,100,CA,1570515707,87,66.15,-65.72,27.64,2.13
154,Ignacio Zaragoza,90,MX,1570515708,63,20.02,-99.32,60.8,8.05
155,Pervomayskiy,0,RU,1570515710,69,53.24,40.29,36.08,9.73
156,Kathu,20,ZA,1570515714,36,-27.7,23.05,64.0,6.71
157,Ust-Omchug,39,RU,1570515716,77,61.13,149.63,10.65,1.03
158,Hithadhoo,100,MV,1570515717,74,-0.6,73.08,82.16,13.62
159,Iquitos,90,PE,1570515718,100,-3.75,-73.25,71.6,2.24
160,Celestun,91,MX,1570515720,77,20.87,-90.4,82.41,14.09
161,Manacapuru,40,BR,1570515721,88,-3.3,-60.62,75.2,2.24
162,Kloulklubed,75,PW,1570515722,74,7.04,134.26,86.0,12.75
163,Ust-Ishim,0,RU,1570515723,70,57.69,71.17,55.97,4.12
164,Annan,34,CN,1570515725,81,27.51,119.05,76.19,1.43
165,Fairbanks,20,US,1570515611,95,64.84,-147.72,32.0,5.82
166,Boissevain,1,CA,1570515727,57,49.23,-100.06,50.0,11.41
167,Sao Filipe,84,CV,1570515728,79,14.9,-24.5,78.26,8.72
168,Naifaru,42,MV,1570515730,66,5.44,73.37,82.67,4.05
169,Narrabri,17,AU,1570515731,26,-30.33,149.78,77.0,20.8
170,Lavrentiya,97,RU,1570515732,98,65.58,-170.99,32.34,5.93
171,San Francisco del Mar,96,MX,1570515734,83,16.34,-94.51,76.02,10.29
172,East London,0,ZA,1570515735,56,-33.02,27.91,68.0,5.82
173,Badami,8,IN,1570515736,60,15.92,75.68,82.72,7.14
174,Imeni Zhelyabova,100,RU,1570515737,96,58.95,36.6,32.45,11.41
175,Khatanga,72,RU,1570515739,77,71.98,102.47,24.26,11.21
176,Bukama,56,CD,1570515740,57,-9.2,25.85,78.81,3.04
177,Saint George,90,GR,1570515741,93,39.45,22.34,59.0,10.29
178,Araouane,0,ML,1570515743,12,18.9,-3.53,83.84,10.78
179,Maunabo,90,PR,1570515745,83,18.01,-65.9,82.4,4.7
180,Aasiaat,7,GL,1570515746,66,68.71,-52.87,32.36,16.82
181,Lata,0,IN,1570515748,49,30.78,78.62,43.48,8.88
182,Talnakh,90,RU,1570515749,92,69.49,88.39,23.0,2.24
183,Namibe,87,AO,1570515750,87,-15.19,12.15,69.06,11.68
184,Narsaq,99,GL,1570515752,74,60.91,-46.05,37.4,0.94
185,Kaeo,2,NZ,1570515753,80,-35.1,173.78,64.99,4.59
186,Tuktoyaktuk,90,CA,1570515754,74,69.44,-133.03,33.8,25.28
187,Salamiyah,61,SY,1570515755,50,35.01,37.05,71.13,1.1
188,Yar-Sale,100,RU,1570515757,73,66.83,70.83,35.6,5.26
189,Mayo,20,CA,1570515758,58,63.59,-135.9,26.6,2.24
190,Nantucket,90,US,1570515491,93,41.28,-70.1,64.99,4.7
191,Ulladulla,75,AU,1570515760,82,-35.36,150.48,55.4,5.82
192,Muhororo,95,RW,1570515762,58,-2.51,29.77,63.75,8.95
193,Vostok,100,RU,1570515763,96,46.45,135.83,41.57,9.13
194,Longyearbyen,75,NO,1570515764,93,78.22,15.63,35.6,9.17
195,Agadir,90,MA,1570515766,100,30.42,-9.58,59.0,3.36
196,Nelson Bay,40,AU,1570515767,68,-32.72,152.14,66.2,21.92
197,Ankazobe,75,MG,1570515768,72,-18.32,47.12,66.2,10.29
198,Atar,1,MR,1570515769,12,20.52,-13.05,82.13,4.34
199,Puqi,96,CN,1570515771,59,29.72,113.88,71.06,6.04
200,Maria la Baja,75,CO,1570515772,94,9.98,-75.3,80.6,8.05
201,Uyo,97,NG,1570515772,92,5.03,7.92,74.1,2.66
202,Belle Fourche,1,US,1570515774,17,44.67,-103.85,62.6,17.22
203,Heiligenhafen,90,DE,1570515776,93,54.37,10.98,48.99,13.87
204,Mosquera,20,CO,1570515777,87,4.71,-74.23,51.8,8.05
205,Taksimo,100,RU,1570515780,68,56.36,114.84,32.55,11.54
206,Gizo,0,IL,1570515781,61,31.8,34.94,81.0,2.24
207,Coihaique,90,CL,1570515782,65,-45.58,-72.07,46.4,4.7
208,Werda,0,BW,1570515723,17,-25.27,23.28,66.43,7.9
209,Leningradskiy,100,RU,1570515785,97,69.38,178.42,36.01,26.78
210,Pangkalanbuun,97,ID,1570515787,47,-2.68,111.62,91.65,4.25
211,Parkes,55,AU,1570515788,37,-33.14,148.18,62.01,1.01
212,Laives,90,FR,1570515791,93,46.65,4.85,50.0,9.17
213,Sesheke,0,NA,1570515792,27,-17.47,24.29,78.8,3.36
214,Gidam,19,IN,1570515793,55,18.98,81.4,88.57,4.14
215,Vanavara,100,RU,1570515795,70,60.35,102.28,31.47,9.06
216,Cockburn Town,100,TC,1570515796,80,21.46,-71.14,83.4,19.17
217,Lisieux,90,FR,1570515797,87,49.15,0.23,55.99,10.29
218,Launceston,75,AU,1570515799,50,-41.43,147.14,59.0,20.8
219,Atbasar,0,KZ,1570515800,53,51.81,68.36,61.32,8.66
220,Victoria,75,BN,1570515665,74,5.28,115.24,87.8,5.82
221,Souillac,90,FR,1570515802,77,45.6,-0.6,59.0,3.36
222,Kulhudhuffushi,4,MV,1570515804,71,6.62,73.07,82.72,6.71
223,Rio Grande,0,BR,1570515805,97,-32.03,-52.1,54.0,5.37
224,Sao Desiderio,32,BR,1570515806,50,-12.36,-44.97,73.86,4.25
225,Aloleng,32,PH,1570515807,72,16.13,119.78,83.69,7.34
226,Bilibino,100,RU,1570515809,96,68.06,166.44,14.54,2.91
227,Muisne,88,EC,1570515810,84,0.61,-80.02,74.8,11.97
228,Aksay,14,KZ,1570515811,60,51.17,53.01,45.93,5.08
229,Rajapur,0,BD,1570515814,58,22.57,90.14,89.74,6.2
230,Gunib,100,RU,1570515815,59,42.39,46.96,52.55,5.73
231,Sorong,50,ID,1570515816,76,-0.86,131.25,83.1,8.16
232,Khakurinokhabl,92,RU,1570515818,59,45.02,40.23,58.69,3.2
233,Tual,43,ID,1570515819,84,-5.67,132.75,79.82,16.73
234,San Ramon,96,NI,1570515820,96,12.92,-85.84,66.68,1.72
235,Maniitsoq,5,GL,1570515821,42,65.42,-52.9,35.65,4.97
236,Hualmay,0,PE,1570515823,93,-11.1,-77.61,59.79,10.71
237,Vijapur,0,IN,1570515824,53,23.57,72.75,88.84,4.47
238,Santiago del Estero,0,AR,1570515825,54,-27.8,-64.26,66.07,7.92
239,Sarangani,50,PH,1570515827,65,5.4,125.46,84.79,7.05
240,Asmara,0,ER,1570515828,33,15.34,38.93,82.11,4.32
241,Pemba,20,MZ,1570515829,88,-12.97,40.52,77.0,5.82
242,Canon City,1,US,1570515830,40,39.46,-117.13,35.6,8.05
243,Yerbogachen,71,RU,1570515832,68,61.28,108.01,25.16,7.36
244,Dalby,30,AU,1570515833,13,-27.18,151.26,95.0,29.97
245,Marsh Harbour,100,BS,1570515834,80,26.54,-77.06,79.75,15.82
246,Kjopsvik,0,NO,1570515836,80,68.1,16.37,39.99,13.87
247,Homer,90,US,1570515837,80,59.64,-151.54,42.8,3.36
248,Puerto Leguizamo,95,CO,1570515838,98,-0.19,-74.78,70.19,1.81
249,Barranca,0,PE,1570515839,93,-10.75,-77.76,59.79,10.71
250,Ponta do Sol,99,BR,1570515841,91,-20.63,-46.0,67.06,4.59
251,Ternate,75,PH,1570515842,62,14.29,120.72,91.99,8.05
252,Ponta Delgada,75,PT,1570515843,88,37.73,-25.67,71.01,17.22
253,Airai,34,TL,1570515845,50,-8.93,125.41,83.66,6.69
254,Saint-Georges,98,CA,1570515771,100,46.12,-70.67,52.0,1.01
255,Fuerte Olimpo,82,BR,1570515847,73,-21.04,-57.87,69.8,2.64
256,Jiangkou,76,CN,1570515848,62,30.7,117.56,65.21,8.28
257,San Patricio,94,PY,1570515850,82,-26.98,-56.83,60.33,4.79
258,Gerash,0,IR,1570515851,54,27.67,54.14,84.2,1.12
259,Prabumulih,47,ID,1570515852,37,-3.5,104.19,95.16,4.56
260,Rezh,33,RU,1570515853,58,57.37,61.4,52.25,9.53
261,Palmer,40,AU,1570515855,38,-34.85,139.16,62.01,14.99
262,Basse,75,DE,1570515856,93,52.55,9.51,53.01,8.05
263,Clyde River,90,CA,1570515857,100,70.47,-68.59,30.2,2.68
264,Nacala,75,MZ,1570515616,74,-14.56,40.69,80.6,9.17
265,Viedma,50,AR,1570515860,49,-40.81,-62.99,52.61,15.84
266,Palembang,95,ID,1570515861,48,-2.99,104.76,91.0,4.52
267,Mount Gambier,40,AU,1570515864,54,-37.83,140.78,55.4,14.99
268,Coquimbo,0,CL,1570515865,87,-29.95,-71.34,57.99,6.93
269,Meghraj,0,IN,1570515866,53,23.5,73.5,88.3,5.84
270,Mende,0,FR,1570515867,82,44.52,3.5,43.68,2.21
271,Ancud,90,CL,1570515869,100,-41.87,-73.83,42.8,2.68
