,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,Hamilton,75,CA,1570515631,76,43.26,-79.87,53.01,3.98
273,Petropavlovsk-Kamchatskiy,49,RU,1570515871,54,53.05,158.65,53.6,8.95
274,Shenjiamen,100,CN,1570515872,78,29.96,122.3,69.83,15.9
275,Lorengau,51,PG,1570515874,80,-2.02,147.27,82.04,7.02
276,Lamu,97,CN,1570515876,52,35.77,102.37,56.73,5.06
277,Mount Isa,5,AU,1570515878,10,-20.73,139.49,98.6,12.75
278,San Luis Rio Colorado,1,MX,1570515879,11,32.47,-114.76,82.4,8.05
279,Les Cayes,98,HT,1570515880,77,18.19,-73.75,83.28,12.55
280,Anloga,40,GH,1570515882,88,5.79,0.9,77.0,9.17
281,Verkhnetulomskiy,0,RU,1570515883,92,68.61,31.8,30.2,2.24
282,Ongandjera,30,NA,1570515884,11,-17.88,15.07,71.18,5.64
283,Nagayo,75,JP,1570515885,60,32.82,129.89,75.2,14.99
284,Severo-Kurilsk,18,RU,1570515887,82,50.68,156.12,46.25,3.04
285,Broken Hill,0,AU,1570515888,25,-31.97,141.45,62.6,18.34
286,Qinhuangdao,0,CN,1570515889,13,39.94,119.59,66.21,9.78
287,Hovd,0,NO,1570515890,74,63.83,10.7,41.0,11.41
288,Tougan,76,BF,1570515892,69,13.07,-3.07,78.9,6.93
289,Saskylakh,57,RU,1570515893,94,71.97,114.09,22.06,13.2
290,Alofi,97,NU,1570515894,78,-19.06,-169.92,73.4,12.75
291,Roald,75,NO,1570515896,81,62.58,6.12,44.6,9.17
292,Buraydah,40,SA,1570515897,43,26.33,43.97,89.6,9.17
293,Nzerekore,100,GN,1570515898,99,7.76,-8.82,68.99,0.78
294,Pacific Grove,1,US,1570515765,58,36.62,-121.92,64.0,3.36
295,Inta,86,RU,1570515901,72,66.04,60.13,43.05,13.53
296,Vila Velha,40,BR,1570515902,69,-3.71,-38.6,78.8,18.34
297,Tugulym,0,RU,1570515670,45,57.06,64.64,62.6,6.71
298,Hervey Bay,44,AU,1570515907,61,-25.3,152.85,79.0,20.8
299,Ambanja,75,MG,1570515908,58,-13.68,48.45,86.0,4.7
300,Zhangjiakou,0,CN,1570515910,21,40.77,114.88,51.27,7.02
301,Southampton,0,GB,1570515900,93,50.9,-1.4,55.0,5.82
302,Tanout,100,NE,1570515913,45,14.97,8.88,83.62,12.84
303,Polunochnoye,100,RU,1570515915,92,60.87,60.43,42.65,4.54
304,Codrington,61,AU,1570515916,16,-28.95,153.24,98.6,23.04
305,Lexington,90,US,1570515917,100,38.05,-84.5,50.0,8.23
306,Acapulco,40,MX,1570515919,88,16.86,-99.88,80.6,4.7
307,Bandar-e Lengeh,20,IR,1570515920,62,26.56,54.88,89.6,6.93
308,Aptos,1,US,1570515763,66,36.98,-121.9,64.99,4.18
309,Port-Cartier,75,CA,1570515923,93,50.03,-66.88,46.99,3.36
310,Brokopondo,0,SR,1570515924,94,5.06,-54.98,77.0,4.7
311,Melilla,90,EC,1570515925,94,-0.8,-80.23,69.8,5.82
312,Cagliari,20,IT,1570515733,93,46.38,10.88,46.0,2.24
313,Berdigestyakh,100,RU,1570515928,92,62.1,126.7,33.0,6.17
314,Qostanay,0,KZ,1570515929,44,53.17,63.58,60.8,4.76
315,Isangel,75,VU,1570515930,74,-19.55,169.27,78.8,11.41
316,Constitucion,56,MX,1570515932,87,23.99,-104.67,49.94,6.31
317,Nata,0,BW,1570515933,16,-20.21,26.19,76.76,14.27
318,Abhar,2,IR,1570515935,21,36.14,49.22,65.84,10.69
319,Anchorage,75,US,1570515780,56,61.22,-149.89,42.01,1.97
320,Esperance,99,AU,1570515938,36,-33.86,121.89,75.2,9.17
321,Lompoc,1,US,1570515940,62,34.64,-120.46,57.99,10.45
322,Otradnoye,75,RU,1570515941,74,59.77,30.8,34.0,6.71
323,Evensk,23,RU,1570515942,51,61.92,159.24,27.1,7.76
324,Tabou,100,CI,1570515944,96,4.42,-7.36,72.64,3.38
325,Requena,0,ES,1570515945,77,39.49,-1.1,63.0,3.36
326,Baiyin,90,CN,1570515946,76,36.55,104.13,51.8,4.47
327,Hohhot,0,CN,1570515947,25,40.81,111.65,60.8,4.47
328,Saint-Joseph,0,FR,1570515949,76,43.56,6.97,61.0,4.7
329,Samarai,51,PG,1570515950,73,-10.62,150.67,76.29,9.35
330,Saldanha,27,PT,1570515951,49,41.42,-6.55,59.27,1.59
331,Zhigansk,100,RU,1570515953,92,66.77,123.37,29.3,11.27
332,Perth,0,AU,1570515954,25,-31.95,115.86,89.01,13.87
333,Phon,5,TH,1570515955,52,15.81,102.61,89.52,8.52
334,Eydhafushi,96,MV,1570515956,68,5.1,73.07,82.5,3.38
335,Meulaboh,88,ID,1570515958,79,4.14,96.13,81.03,8.77
336,Broome,0,GB,1570515959,100,52.47,1.45,55.0,6.93
337,Qaracala,99,AZ,1570515960,49,39.81,48.95,65.96,6.49
338,Sturgeon Falls,1,CA,1570515962,100,46.36,-79.93,44.01,11.41
339,Savannah Bight,100,HN,1570515963,80,16.45,-85.85,84.47,17.25
340,Turochak,0,RU,1570515964,55,52.26,87.12,65.3,1.36
341,Road Town,1,VG,1570515811,78,18.42,-64.62,84.0,10.29
342,Khasan,21,RU,1570515968,37,42.43,130.64,53.24,23.0
343,Dvinskoy,100,RU,1570515969,95,62.16,45.12,38.73,13.06
344,Sampit,86,ID,1570515971,52,-2.54,112.95,92.1,2.08
345,Vic,20,ES,1570515972,93,41.93,2.25,70.0,0.89
346,Inhambane,40,MZ,1570515823,83,-23.87,35.38,78.8,13.87
347,Freeport,100,BS,1570515976,85,26.54,-78.7,79.32,27.76
348,Kochevo,90,BG,1570515978,81,42.1,24.92,51.8,8.05
349,Coahuayana,100,MX,1570515979,94,18.62,-100.35,70.79,2.21
350,Guerrero Negro,6,MX,1570515981,80,27.97,-114.04,69.9,13.44
351,San Cristobal,88,HN,1570515982,96,14.68,-86.92,65.53,0.83
352,Golden,1,US,1570515983,20,39.76,-105.22,51.8,6.93
353,Beringovskiy,100,RU,1570515984,99,63.05,179.32,34.68,2.46
354,Arona,75,IT,1570515986,93,45.76,8.56,57.99,4.7
355,Faanui,69,PF,1570515987,84,-16.48,-151.75,77.46,19.91
356,Kralendijk,12,BQ,1570515988,83,12.15,-68.27,82.4,10.29
357,Blagoyevo,100,RU,1570515990,93,63.37,47.92,40.44,9.13
358,Wajir,0,KE,1570515992,57,1.75,40.07,80.6,6.93
359,Moose Factory,1,CA,1570515993,100,51.26,-80.61,35.6,9.17
360,Atikokan,0,CA,1570515995,83,48.76,-91.62,43.66,9.01
361,Upernavik,35,GL,1570515996,62,72.79,-56.15,28.86,8.9
362,Sao Felix do Xingu,38,BR,1570515997,94,-6.64,-51.99,71.04,0.94
363,Ankang,100,CN,1570516000,97,32.73,108.99,54.66,2.86
364,Awbari,0,LY,1570516001,21,26.59,12.77,69.26,9.86
365,Husavik,0,CA,1570516002,59,50.56,-96.99,53.01,10.0
366,Gifhorn,75,DE,1570516004,93,52.48,10.54,52.0,8.05
367,Fomboni,7,KM,1570516005,73,-12.28,43.74,78.9,9.17
368,Kahului,40,US,1570516008,69,20.89,-156.47,78.8,12.75
369,Pont-a-Mousson,20,FR,1570516009,87,48.91,6.06,54.0,4.7
370,Conakry,75,GN,1570516010,94,9.52,-13.7,75.2,6.93
371,Sokolo,45,ML,1570516012,69,14.74,-6.12,78.58,7.23
372,Kabalo,99,CD,1570516013,71,-6.05,26.92,77.05,2.51
373,Urucara,97,BR,1570516014,84,-2.54,-57.76,74.48,2.91
374,Bereznik,100,RU,1570516015,96,62.86,42.71,40.08,8.25
375,Niamey,0,NE,1570516017,69,13.52,2.11,78.8,4.7
376,Masallatah,53,LY,1570516018,73,32.62,14.0,64.04,12.33
377,Tommot,100,RU,1570516019,78,58.97,126.27,33.24,5.73
378,Hearst,17,CA,1570516022,95,49.69,-83.67,38.4,5.57
379,Jieshi,36,CN,1570516023,55,22.82,115.83,90.0,7.65
380,Jardim,87,BR,1570516024,83,-21.48,-56.15,66.92,1.74
381,Labuhan,1,ID,1570516026,30,-2.54,115.51,98.07,2.42
382,Hofn,100,IS,1570516027,99,64.25,-15.21,37.47,6.13
383,Bridlington,0,GB,1570516031,93,54.08,-0.19,50.0,9.17
384,Ardakan,20,IR,1570516032,15,32.31,54.02,80.6,2.24
385,Saint-Francois,90,FR,1570516033,87,46.42,3.91,50.0,5.82
386,Port Hawkesbury,90,CA,1570516035,88,45.62,-61.36,64.99,17.22
387,Kevsala,85,RU,1570516036,49,45.79,42.68,55.58,17.4
388,Soyo,75,AO,1570516037,88,-6.13,12.37,77.0,9.71
389,Mabaruma,68,GY,1570516039,97,8.2,-59.78,72.84,0.45
390,Daru,90,PG,1570516040,77,-9.07,143.21,77.21,10.51
391,Manavgat,75,TR,1570516041,77,36.79,31.44,70.0,4.7
392,Nome,90,US,1570516043,82,30.04,-94.42,70.0,6.93
393,Westport,90,US,1570516044,82,41.14,-73.36,62.6,9.17
394,Nongpoh,75,IN,1570516045,83,25.9,91.88,78.8,3.36
395,Valparaiso,1,US,1570515846,100,41.47,-87.06,51.01,3.2
396,Taltal,0,CL,1570516048,86,-25.41,-70.49,50.5,2.37
397,Staroutkinsk,95,RU,1570516049,72,57.23,59.33,50.66,10.38
398,Port Hardy,90,CA,1570516050,93,50.7,-127.42,44.6,6.93
399,Savinka,76,RU,1570516051,56,50.08,47.1,44.74,6.85
400,Severodvinsk,90,RU,1570516053,100,64.56,39.82,33.8,11.18
401,Tilichiki,0,RU,1570516054,77,60.47,166.1,28.18,9.1
402,Tongren,100,CN,1570516055,63,27.72,109.18,67.73,1.77
403,Dolni Dabnik,75,BG,1570516058,87,43.41,24.45,50.0,2.24
404,Rome,0,IT,1570515857,71,41.89,12.48,62.01,4.7
405,Verdun,20,FR,1570516060,87,49.16,5.39,54.0,4.7
406,Kieta,97,PG,1570516061,72,-6.22,155.63,84.2,7.94
407,Caico,0,PE,1570516063,61,-17.24,-70.29,50.37,2.19
408,Kharakvasla,0,IN,1570516065,66,18.43,73.77,81.91,8.28
409,Kungurtug,0,RU,1570516066,41,50.6,97.53,52.71,4.07
410,Ranong,75,TH,1570516068,74,9.96,98.62,87.8,6.93
411,Kwinana,98,AU,1570516069,28,-32.25,115.77,89.01,5.82
412,Thayetmyo,20,MM,1570516049,70,19.32,95.18,87.06,1.25
413,Kruisfontein,40,ZA,1570516071,65,-34.0,24.73,62.38,3.58
414,Turayf,0,SA,1570516073,39,31.68,38.65,80.6,11.41
415,Cidreira,24,BR,1570516074,93,-30.17,-50.22,60.53,4.5
416,Dicabisagan,49,PH,1570516075,69,17.08,122.42,85.01,3.2
417,Dawei,57,MM,1570516077,70,14.07,98.19,83.24,8.61
418,Kirovskiy,100,RU,1570516078,73,45.09,133.51,45.39,7.72
419,El Dorado,40,TT,1570516079,94,10.65,-61.37,78.01,5.82
420,Nizwa,0,OM,1570516080,48,22.93,57.53,77.84,1.34
421,Honningsvag,75,NO,1570516082,100,70.98,25.97,33.8,3.36
422,Tokur,100,RU,1570516084,97,53.13,132.9,35.36,3.18
423,Kaohsiung,40,TW,1570515873,58,22.62,120.31,88.0,12.75
424,Ngunguru,13,NZ,1570516092,75,-35.62,174.5,63.0,1.99
425,Charagua,26,BO,1570516094,75,-19.79,-63.2,58.15,2.46
426,Hambantota,40,LK,1570516095,74,6.12,81.12,86.0,3.36
427,Linhai,95,CN,1570516018,90,28.86,121.14,73.0,1.99
428,Sao Jose da Coroa Grande,2,BR,1570516098,94,-8.9,-35.15,68.93,4.05
429,Antofagasta,90,CL,1570515809,76,-23.65,-70.4,57.2,4.7
430,Alta Floresta,100,BR,1570516101,98,-9.87,-56.08,70.41,2.33
431,Wagar,29,US,1570516102,84,31.44,-87.99,72.0,1.99
432,Monrovia,75,LR,1570516104,94,6.33,-10.8,75.2,12.3
433,Krutikha,25,RU,1570516105,51,53.96,81.21,63.26,4.68
434,Baruun-Urt,0,MN,1570516107,30,46.68,113.28,57.77,20.4
435,Pedernales,100,EC,1570516109,84,0.07,-80.05,74.06,10.4
436,Lamar,1,US,1570516111,50,38.09,-102.62,51.8,12.64
437,Dhidhdhoo,75,MV,1570516112,69,6.88,73.1,83.19,6.29
438,Abu Samrah,93,SY,1570516114,60,35.3,37.18,70.03,4.63
439,Rincon,86,PA,1570516115,95,8.46,-82.28,52.0,0.02
440,Piranshahr,0,IR,1570516116,21,36.7,45.14,63.35,10.02
441,Mangrol,0,IN,1570516117,70,25.33,76.51,86.0,1.12
442,Dennis,90,US,1570516119,87,41.74,-70.19,62.6,11.41
443,Nkan,99,CM,1570516120,98,2.95,11.22,67.64,2.26
444,Hengyang,69,CN,1570516122,48,26.89,112.6,74.91,6.73
445,Puerto del Rosario,75,ES,1570516124,78,28.5,-13.86,71.6,9.17
446,Porto Novo,75,BR,1570516125,82,-23.68,-45.44,64.4,3.36
447,Iquique,0,CL,1570516019,76,-20.22,-70.14,55.4,2.24
448,Tautira,75,PF,1570516128,83,-17.73,-149.15,77.0,3.36
449,Ahipara,24,NZ,1570516129,81,-35.17,173.16,64.0,4.9
450,Scarborough,0,GB,1570516130,93,54.28,-0.41,52.0,9.17
451,Paita,42,PE,1570516131,90,-5.09,-81.11,61.79,13.6
452,Portland,90,US,1570515918,93,43.66,-70.25,57.2,3.36
453,Flin Flon,100,CA,1570516135,79,54.77,-101.88,44.67,6.67
454,Dubbo,90,AU,1570516136,33,-32.25,148.6,62.6,31.09
455,Adrar,0,DZ,1570516138,25,27.87,-0.29,64.4,8.05
456,Ntcheu,0,MW,1570516139,60,-14.82,34.64,70.84,9.98
457,Tazovskiy,100,RU,1570516141,88,67.47,78.7,36.01,6.49
458,Paamiut,100,GL,1570515990,80,61.99,-49.67,38.87,6.2
459,Tallahassee,40,US,1570516144,100,30.44,-84.28,73.4,3.36
460,Idrinskoye,96,RU,1570516145,76,54.37,92.14,54.44,3.36
461,Elat,99,CM,1570516147,98,2.91,11.16,67.64,2.26
462,San Jeronimo,90,PE,1570516148,83,-13.65,-73.37,47.48,2.48
463,Katherine,73,AU,1570516149,12,-14.47,132.26,100.4,6.93
464,Kankaanpaa,72,FI,1570516150,93,61.8,22.42,37.99,3.36
465,Enshi,95,CN,1570516152,83,30.29,109.48,62.36,2.26
466,Olinda,90,AU,1570516153,62,-37.84,145.39,57.0,19.46
467,Neustadt,75,CH,1570516025,93,47.05,8.31,50.0,3.36
468,Okhotsk,91,RU,1570516155,53,59.36,143.24,36.03,1.7
469,Changzhou,97,CN,1570516157,58,31.81,119.97,75.99,7.58
470,Fare,53,PF,1570516159,83,-16.7,-151.02,76.64,21.72
471,Aklavik,90,CA,1570516160,92,68.22,-135.01,28.4,8.05
472,Ayna,0,ES,1570516162,93,38.55,-2.07,62.01,4.7
473,Imbituba,40,BR,1570516163,88,-28.24,-48.67,66.2,9.17
474,Egvekinot,99,RU,1570516164,98,66.32,-179.17,30.32,4.0
475,Giddalur,61,IN,1570516166,65,15.38,78.93,85.62,5.41
476,Toplet,66,RO,1570516167,86,44.8,22.39,41.66,1.92
477,Baoshan,20,CN,1570516168,64,31.41,121.49,75.0,8.95
478,Noumea,0,NC,1570516169,57,-22.28,166.46,78.8,9.17
479,Piacabucu,12,BR,1570516172,83,-10.41,-36.43,74.78,12.37
480,Pontianak,75,ID,1570516173,62,-0.02,109.34,87.8,7.25
481,Tyrma,100,RU,1570516174,92,50.04,132.17,44.34,4.5
482,Cairns,20,AU,1570516176,65,-16.92,145.77,88.0,6.93
483,Grimshaw,90,CA,1570516178,63,56.19,-117.61,30.2,16.11
484,Yagodnoye,34,RU,1570516181,74,62.52,149.63,13.24,2.01
485,Kiunga,72,PG,1570516182,63,-6.12,141.3,87.71,4.09
486,Gazanjyk,0,TM,1570516183,50,39.24,55.52,73.77,16.62
487,Xining,100,CN,1570516185,57,36.62,101.77,51.76,6.33
488,Pahrump,90,US,1570515972,14,36.21,-115.98,62.6,4.7
489,Gushikawa,1,JP,1570516187,62,26.35,127.87,86.0,12.75
490,Amanganj,0,IN,1570516188,44,24.43,80.04,85.38,5.64
491,Borgarnes,90,IS,1570516190,87,64.54,-21.92,46.0,3.36
492,Morehead,1,US,1570516191,93,38.18,-83.43,53.6,3.62
493,Namatanai,21,PG,1570516192,81,-3.66,152.44,81.23,12.01
494,Montevideo,1,US,1570516195,66,44.94,-95.72,57.0,9.17
495,Dom Pedrito,0,BR,1570516196,93,-30.98,-54.67,51.8,3.36
496,Marrakesh,0,MA,1570516200,39,31.63,-7.99,66.2,1.12
497,Idritsa,100,RU,1570516201,96,56.33,28.9,36.01,5.23
498,Taoudenni,0,ML,1570516202,14,22.68,-3.98,79.8,8.12
499,Sorada,45,IN,1570516203,70,19.76,84.43,79.98,4.34
500,Ahuimanu,90,US,1570516205,83,21.44,-157.84,80.01,8.05
501,Gorontalo,23,ID,1570515993,54,0.54,123.06,86.25,8.05
502,Marseille,0,FR,1570516207,87,43.3,5.37,57.0,5.82
503,Terrace,90,CA,1570516066,92,54.52,-128.61,37.4,8.05
504,Casma,74,PE,1570516210,93,-9.47,-78.3,59.21,9.15
505,Bartlett,1,US,1570516211,58,41.89,-98.55,55.4,8.05
506,Trinidad,100,BO,1570516212,90,-14.83,-64.9,67.55,2.13
507,Adeje,99,NG,1570516214,87,5.68,5.76,76.74,4.83
508,Nekhayevskiy,100,RU,1570516215,84,50.41,41.76,42.01,7.0
509,Saint-Louis,40,SN,1570516216,83,16.03,-16.5,82.4,4.7
510,Lasa,20,CY,1570516217,50,34.92,32.53,77.0,5.82
511,Bima,47,ID,1570516219,25,-8.45,118.73,96.47,6.33
512,Sawtell,75,AU,1570516221,77,-30.38,153.1,73.4,11.41
513,Wufeng,96,CN,1570516224,89,27.44,104.87,60.45,6.89
514,Jiayuguan,86,CN,1570516225,30,39.77,98.29,57.84,5.68
515,Turtas,3,RU,1570516226,71,58.94,69.13,54.86,5.41
516,Tiznit,0,MA,1570516228,84,29.7,-9.73,67.33,8.97
517,Blythe,1,US,1570516229,15,33.61,-114.59,72.0,3.42
518,Astoria,40,US,1570516230,93,46.19,-123.83,57.0,8.05
519,Karasjok,75,NO,1570516231,95,69.47,25.52,33.8,12.75
520,Longonjo,40,AO,1570516233,93,-12.91,15.25,62.6,3.36
521,Chapais,75,CA,1570516234,100,49.78,-74.86,39.2,5.82
522,Gaya,40,IN,1570516235,66,24.8,85.01,86.0,4.7
523,Hun,75,BE,1570516237,93,50.34,4.87,55.0,12.75
524,Mogadishu,75,SO,1570516159,69,2.04,45.34,82.4,6.93
525,Nardaran,0,AZ,1570516239,68,40.56,50.01,68.0,8.05
526,Tucuman,0,PE,1570516241,59,-17.17,-70.89,44.15,2.51
527,Caucaia,40,BR,1570516243,69,-3.73,-38.66,78.8,18.34
528,Dera Ghazi Khan,0,PK,1570516244,29,30.03,70.64,87.81,3.18
529,Awjilah,89,LY,1570516245,31,29.14,21.3,74.75,14.36
530,Bonavista,100,CA,1570516247,86,48.65,-53.11,57.0,18.99
531,Adre,100,TD,1570516248,71,13.47,22.2,74.58,6.67
532,Agropoli,0,IT,1570516249,60,40.35,15.0,63.0,10.0
533,Ola,0,RU,1570516250,41,59.58,151.3,33.51,4.63
534,Lahaina,40,US,1570516252,69,20.87,-156.68,78.8,12.75
535,Puntarenas,40,CR,1570516253,93,9.98,-84.84,73.0,3.36
536,Sambava,19,MG,1570516254,74,-14.27,50.17,76.94,5.12
537,Kabarnet,40,KE,1570516256,72,0.5,35.74,59.0,2.24
538,Puerto Colombia,75,CO,1570516257,100,10.99,-74.96,73.4,5.82
539,Palatca,5,RO,1570516258,86,46.85,23.98,34.0,2.24
540,Tsogni,88,GA,1570516260,83,-2.79,10.1,76.74,5.39
541,Gravdal,75,NO,1570516262,87,59.79,5.78,46.99,16.11
542,Los Llanos de Aridane,75,ES,1570516263,73,28.66,-17.92,71.6,11.41
543,Odesskoye,0,RU,1570516265,47,54.21,72.97,63.17,5.32
544,Monteria,75,CO,1570516267,100,10.74,-74.19,82.4,5.82
545,Yumen,92,CN,1570516268,25,40.29,97.04,62.78,10.22
546,Mountain Home,1,US,1570516260,37,43.13,-115.69,51.8,9.17
